iter	Passed	Remaining
608	797	511
609	798	510
610	799	508
611	800	507
612	801	506
613	802	504
614	804	503
615	805	501
616	806	500
617	807	499
618	808	497
619	810	496
620	811	495
621	813	494
622	814	492
623	815	491
624	816	489
625	817	488
626	818	487
627	819	485
628	821	484
629	822	482
630	823	481
631	824	480
632	826	479
633	828	478
634	829	476
635	830	475
636	831	473
637	832	472
638	833	471
639	834	469
640	836	468
641	837	466
642	838	465
643	840	464
644	841	463
645	842	461
646	843	460
647	844	458
648	846	457
649	847	456
650	848	454
651	849	453
652	850	451
653	851	450
654	853	449
655	854	448
656	855	446
657	857	445
658	859	444
659	860	443
660	861	441
661	862	440
662	863	438
663	865	437
664	866	436
665	867	435
666	869	433
667	870	432
668	872	431
669	873	430
670	874	428
671	875	427
672	877	426
673	879	425
674	880	423
675	881	422
676	883	421
677	885	420
678	886	419
679	888	417
680	889	416
681	890	415
682	891	413
683	892	412
684	894	411
685	896	410
686	897	408
687	898	407
688	900	406
689	901	405
690	902	403
691	904	402
692	905	400
693	906	399
694	908	398
695	909	397
696	910	395
697	911	394
698	912	392
699	913	391
700	914	390
701	916	389
702	917	387
703	919	386
704	921	385
705	922	384
706	924	382
707	925	381
708	927	380
709	928	379
710	929	377
711	931	376
712	933	375
713	935	374
714	936	373
715	937	371
716	938	370
717	940	369
718	941	368
719	942	366
720	943	365
721	945	364
722	947	362
723	948	361
724	950	360
725	951	359
726	953	358
727	954	356
728	956	355
729	957	354
730	958	352
731	960	351
732	962	350
733	964	349
734	966	348
735	967	346
736	968	345
737	969	344
738	970	342
739	972	341
740	973	340
741	976	339
742	978	338
743	980	337
744	981	335
745	982	334
746	984	333
747	985	332
748	987	330
749	988	329
750	990	328
751	993	327
752	994	326
753	996	325
754	997	323
755	999	322
756	1000	321
757	1002	319
758	1003	318
759	1004	317
760	1006	316
761	1008	315
762	1010	313
763	1011	312
764	1012	311
765	1014	309
766	1015	308
767	1016	307
768	1017	305
769	1019	304
770	1021	303
771	1023	302
772	1024	300
773	1026	299
774	1027	298
775	1029	297
776	1030	295
777	1032	294
778	1033	293
779	1035	291
780	1036	290
781	1038	289
782	1040	288
783	1041	286
784	1042	285
785	1043	284
786	1045	282
787	1046	281
788	1048	280
789	1049	278
790	1051	277
791	1053	276
792	1054	275
793	1055	273
794	1056	272
795	1058	271
796	1059	269
797	1060	268
798	1062	267
799	1064	266
800	1065	264
801	1067	263
802	1068	262
803	1069	260
804	1071	259
805	1072	258
806	1074	256
807	1075	255
808	1077	254
809	1079	253
810	1080	251
811	1082	250
812	1084	249
813	1086	248
814	1088	247
815	1089	245
816	1091	244
817	1093	243
818	1095	242
819	1096	240
820	1098	239
821	1100	238
822	1101	236
823	1103	235
824	1104	234
825	1106	233
826	1108	231
827	1109	230
828	1110	229
829	1112	227
830	1114	226
831	1116	225
832	1117	224
833	1119	222
834	1120	221
835	1122	220
836	1124	218
837	1126	217
838	1127	216
839	1129	215
840	1130	213
841	1132	212
842	1133	211
843	1134	209
844	1136	208
845	1137	207
846	1139	205
847	1140	204
848	1142	203
849	1143	201
850	1145	200
851	1147	199
852	1149	198
853	1150	196
854	1151	195
855	1152	193
856	1154	192
857	1155	191
858	1157	189
859	1158	188
860	1159	187
861	1160	185
862	1162	184
863	1163	183
864	1165	181
865	1166	180
866	1168	179
867	1169	177
868	1171	176
869	1172	175
870	1174	173
871	1175	172
872	1177	171
873	1178	169
874	1179	168
875	1180	167
876	1182	165
877	1183	164
878	1185	163
879	1186	161
880	1188	160
881	1189	159
882	1191	157
883	1192	156
884	1194	155
885	1195	153
886	1197	152
887	1199	151
888	1200	149
889	1202	148
890	1204	147
891	1205	145
892	1207	144
893	1208	143
894	1209	141
895	1211	140
896	1212	139
897	1214	137
898	1215	136
899	1217	135
900	1219	133
901	1220	132
902	1221	131
903	1223	129
904	1224	128
905	1226	127
906	1228	125
907	1230	124
908	1231	123
909	1233	121
910	1234	120
911	1235	119
912	1236	117
913	1237	116
914	1239	115
915	1240	113
916	1242	112
917	1243	111
918	1245	109
919	1246	108
920	1247	107
921	1248	105
922	1250	104
923	1251	102
924	1252	101
925	1254	100
926	1255	98
927	1256	97
928	1258	96
929	1259	94
930	1260	93
931	1262	92
932	1263	90
933	1264	89
934	1265	88
935	1268	86
936	1269	85
937	1270	84
938	1272	82
939	1273	81
940	1275	79
941	1276	78
942	1277	77
943	1278	75
944	1279	74
945	1281	73
946	1283	71
947	1284	70
948	1285	69
949	1287	67
950	1289	66
951	1290	65
952	1291	63
953	1292	62
954	1293	60
955	1295	59
956	1296	58
957	1297	56
958	1299	55
959	1300	54
960	1302	52
961	1303	51
962	1305	50
963	1307	48
964	1308	47
965	1309	46
966	1311	44
967	1312	43
968	1313	42
969	1315	40
970	1317	39
971	1318	37
972	1320	36
973	1322	35
974	1323	33
975	1325	32
976	1326	31
977	1327	29
978	1329	28
979	1331	27
980	1333	25
981	1334	24
982	1336	23
983	1337	21
984	1339	20
985	1340	19
986	1342	17
987	1343	16
988	1345	14
989	1347	13
990	1348	12
991	1350	10
992	1351	9
993	1352	8
994	1353	6
995	1354	5
996	1356	4
997	1357	2
998	1358	1
999	1359	0
